file	date	hour	id_mic	Ecosystem	Composition	Interaction	Structure	Dilution	Replicate	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Tet	Col	Pau	Eug	Daphnia	Tet_meanarea	Col_meanarea	Pau_meanarea	Eug_meanarea	Tet_major	Col_major	Pau_major	Eug_major	Tet_minor	Col_minor	Pau_minor	Eug_minor	Euglena_manual	Eug_manual_per_ul	Daphnia_large_protist	Col_presence	Pau_presence	CD	Bact_per_ul	Mean FSC-A	Mean SSC-A	Oxygen
sample_0037	2015-10-26	10	37	1	Col + Pau	Competition	Resource	0.33	A	1.744	0.099090909	245.4545455	13.94628099	23.88872453	10.14392248	12.04965939	4.882260956	185.6850988	175.4739653	5.117272727	6.801605826	1.346	0	0.073636364	0.024545455	0	NA	0	142.1289508	44.30615681	0	0	37.04267037	19.53412398	0	0	17.94368658	10.10839346	0	0	0	NA	yes	no	0	36420	3017.590	3030.580	12.115
sample_0038	2015-10-26	10	38	2	Bact	Competition	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	20460	2071.130	2246.750	13.275
sample_0039	2015-10-26	10	39	1	Col + Pau	Competition	Consumer	0.33	A	0.184	0.010454545	131.969697	7.498278237	72.21910774	23.19737764	28.52407407	13.1676611	304.3451389	211.5468478	7.316666667	5.343073398	0.385	0	0.002272727	0.006818182	0	NA	0	309.8484848	952.020202	0	0	57.94469697	98.98535354	0	0	24.91060606	43.12121212	0	0	0	NA	no	yes	0.002272727	38120	2938.130	2931.980	12.899
sample_0040	2015-10-26	10	40	2	Tet	Competition	Consumer	0.33	A	2.064	0.117272727	278.6969697	15.8350551	19.26169614	7.742950423	13.99760105	6.826208282	187.0683308	133.9027113	5.60875	5.769425417	0.77875	0.117272727	0	0	0	NA	65.86769518	0	0	0	19.26169614	0	0	0	13.99760105	0	0	0	0	0	NA	NA	NA	NA	23040	2298.080	2252.650	13.658
sample_0041	2015-10-26	10	41	2	Bact	B.alone	Resource	0	B	1.328	0.075454545	69.84848485	3.968663912	24.33994166	6.72332157	8.136326624	0.684417365	135.0789941	30.32305063	2.53	2.392344935	1.525	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	115160	2271.410	2442.910	5.894
sample_0042	2015-10-26	10	42	1	Bact	B.alone	Resource	0	B	0.08	0.004545455	2.303030303	0.130853994	18.10858586	7.590430944	8.162878788	0.897009766	643.1041667	104.4340797	33.03333333	15.73227998	1.18	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	41560	1566.540	1893.320	4.566
sample_0043	2015-10-26	10	43	2	Tet	B.alone	Consumer	0	B	1.224	0.069545455	148.0909091	8.414256198	19.0782678	10.88475778	11.99123928	6.20389849	112.0188312	78.12055525	2.821428571	0.859484896	1.378333333	0.069545455	0	0	0	NA	59.45616883	0	0	0	19.0782678	0	0	0	11.99123928	0	0	0	0	0	NA	NA	NA	NA	31440	2337.810	2368.760	8.373
sample_0044	2015-10-26	10	44	1	Bact	B.alone	Consumer	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	39380	1779.620	2240.520	5.238
sample_0045	2015-10-26	10	45	2	Bact	C.alone	Resource	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	48780	1705.780	1838.100	5.825
sample_0046	2015-10-26	10	46	1	Col	C.alone	Resource	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	no	NA	0	74760	2746.630	2808.540	4.532
sample_0047	2015-10-26	10	47	2	Tet	C.alone	Consumer	0	B	0.136	0.007727273	11.21212121	0.637052342	19.41156355	9.299986775	13.63888889	7.819180594	298.375	256.9029201	14.48666667	14.75502061	1.02	0.007727273	0	0	0	NA	65.60395623	0	0	0	19.41156355	0	0	0	13.63888889	0	0	0	0	0	NA	NA	NA	NA	40020	2239.870	2061.700	8.203
sample_0048	2015-10-26	10	48	1	Col	C.alone	Consumer	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	no	NA	0	67400	3047.350	2984.290	5.418
sample_0049	2015-10-26	10	49	2	Bact	Facilitation	Resource	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	49780	2294.280	2509.660	6.39
sample_0050	2015-10-26	10	50	1	Col + Eug	Facilitation	Resource	0	B	3.856	0.219090909	521.7575758	29.6453168	28.76214393	9.49340294	17.15154853	4.416083213	96.17573734	16.25047358	1.703529412	0.999218077	1.12625	0	0	0	0.217727273	NA	0	0	0	116.6940379	0	0	0	29.37764409	0	0	0	17.55969455	5	0.284090909	NA	no	NA	0	62140	2645.630	2404.960	7.183
sample_0051	2015-10-26	10	51	2	Tet	Facilitation	Consumer	0	B	1.8	0.102272727	258.4848485	14.68663912	17.9574694	9.119674437	12.41898038	7.408752854	279.5017186	334.3327085	13.72272727	19.85475514	0.62375	0.102272727	0	0	0	NA	59.85251816	0	0	0	17.9574694	0	0	0	12.41898038	0	0	0	0	0	NA	NA	NA	NA	40960	2350.350	2152.530	8.483
sample_0052	2015-10-26	10	52	1	Col + Eug	Facilitation	Consumer	0	B	3.496	0.198636364	592.3333333	33.65530303	31.4012643	9.705522177	20.25008359	6.265629035	195.7778925	190.971773	6.789090909	7.736215424	0.901818182	0	0.071818182	0	0.126818182	NA	0	168.6691417	0	136.8411203	0	35.50245324	0	29.86331845	0	22.92649856	0	19.24642797	6	0.340909091	NA	yes	NA	0	75460	2727.100	2452.990	5.742
sample_0053	2015-10-26	10	53	2	Bact	Predation	Resource	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	49280	1814.490	1939.980	4.337
sample_0054	2015-10-26	10	54	1	Col + Daph	Predation	Resource	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	no	NA	0	70120	4741.390	3666.940	4.754
sample_0055	2015-10-26	10	55	2	Tet	Predation	Consumer	0	B	4.368	0.248181818	809	45.96590909	21.91726812	11.62096473	16.60422018	10.12227515	237.3597744	186.7092419	7.871764706	10.12420011	0.807142857	0.248181818	0	0	0	NA	99.10416745	0	0	0	21.91726812	0	0	0	16.60422018	0	0	0	0	0	NA	NA	NA	NA	37920	2642.600	2478.640	8.598
sample_0056	2015-10-26	10	56	1	Col + Daph	Predation	Consumer	0	B	0.496	0.028181818	102.4545455	5.821280992	40.44238759	5.144063591	24.58357771	0.880773036	606.266129	194.3175054	24.235	8.88833224	0.15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	yes	NA	0	69280	3082.310	3185.610	5.606
sample_0057	2015-10-26	10	57	2	Bact	Competition	Resource	0	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	44280	1702.730	1933.250	7.119
